Title,Story
Dracula,leave munich st arrive vienna early morning arrive train hour late.
Dracula,buda pesth wonderful place glimpse get train little walk street.
Dracula,fear far station arrive late start near correct time possible.
Dracula,impression leave west enter east western splendid bridge danube noble width depth take tradition turkish rule.
Dracula,leave pretty good time come nightfall klausenburgh.
Dracula,stop night hotel royale.
Dracula,dinner supper chicken way red pepper good thirsty.
Dracula,ask waiter say call paprika hendl national dish able carpathians.
Dracula,find smattering german useful know able.
Dracula,have time disposal london visit british museum search book map library transylvania strike foreknowledge country hardly fail importance deal nobleman country.
Dracula,find district name extreme east country border state transylvania moldavia bukovina midst carpathian mountain wild know portion europe.
Dracula,able light map work give exact locality castle dracula map country compare ordnance survey map find bistritz post town name count dracula fairly know place.
Dracula,shall enter note refresh memory talk travel mina.
Dracula,population transylvania distinct nationality saxon south mix wallachs descendant dacians magyars west szekelys east north.
Dracula,go claim descend attila huns.
Dracula,magyars conquer country eleventh century find huns settle.
Dracula,read know superstition world gather horseshoe carpathians centre sort imaginative whirlpool stay interesting.
Dracula,sleep bed comfortable sort queer dream.
Dracula,dog howl night window paprika drink water carafe thirsty.
Dracula,morning sleep waken continuous knocking door guess sleep soundly.
Dracula,breakfast paprika sort porridge maize flour say mamaliga egg plant stuff forcemeat excellent dish impletata.
Dracula,hurry breakfast train start little ought rush station sit carriage hour begin.
Dracula,east unpunctual train.
Dracula,day long dawdle country beauty kind.
Dracula,see little town castle steep hill old missal run river stream wide stony margin subject great flood.
Dracula,take lot water run strong sweep outside edge river clear.
Dracula,station group people crowd sort attire.
Dracula,like peasant home see come france germany short jacket round hat home trouser picturesque.
Dracula,woman look pretty get near clumsy waist.
Dracula,white sleeve kind big belt lot strip flutter like dress ballet course petticoat.
Dracula,strange figure see slovaks barbarian rest big cow boy hat great baggy dirty white trouser white linen shirt enormous heavy leather belt nearly foot wide stud brass nail.
Dracula,wear high boot trouser tuck long black hair heavy black moustache.
Dracula,picturesque look prepossess.
Dracula,stage set old oriental band brigand.
Dracula,tell harmless want natural self assertion.
Dracula,dark twilight get bistritz interesting old place.
Dracula,practically frontier borgo pass lead bukovina stormy existence certainly show.
Dracula,year ago series great fire take place terrible havoc separate occasion.
Dracula,beginning seventeenth century undergo siege week lose people casualty war proper assist famine disease.
Dracula,count dracula direct golden krone hotel find great delight thoroughly old fashioned course want way country.
Dracula,evidently expect get near door face cheery look elderly woman usual peasant dress white undergarment long double apron coloured stuff fit tight modesty.
Dracula,come close bow say herr englishman.
Dracula,yes say jonathan harker.
Dracula,smile give message elderly man white shirt sleeve follow door.
Dracula,go immediately return letter friend.
Dracula,morrow diligence start bukovina place keep.
