Title,Story
The Imp of the Perverse, in the consideration of the faculties and impulses of the prima mobilia of the human soul  the phrenologists have failed to make room for a propensity which  although obviously existing as a radical  primitive  irreducible sentiment  has been equally overlooked by all the moralists who have preceded them.
The Imp of the Perverse,in the pure arrogance of the reason  we have all overlooked it.
The Imp of the Perverse,we have suffered its existence to escape our senses  solely through want of belief of faith  whether it be faith in revelation  or faith in the kabbala.
The Imp of the Perverse,the idea of it has never occurred to us  simply because of its supererogation.
The Imp of the Perverse,we saw no need of the impulse for the propensity.
The Imp of the Perverse,we could not perceive its necessity.
The Imp of the Perverse,we could not understand  that is to say  we could not have understood  had the notion of this primum mobile ever obtruded itself  we could not have understood in what manner it might be made to further the objects of humanity  either temporal or eternal.
The Imp of the Perverse,it cannot be denied that phrenology and  in great measure  all metaphysicianism have been concocted a priori.
The Imp of the Perverse,the intellectual or logical man  rather than the understanding or observant man  set himself to imagine designs to dictate purposes to god.
The Imp of the Perverse,having thus fathomed  to his satisfaction  the intentions of jehovah  out of these intentions he built his innumerable systems of mind.
The Imp of the Perverse,in the matter of phrenology  for example  we first determined  naturally enough  that it was the design of the deity that man should eat.
The Imp of the Perverse,we then assigned to man an organ of alimentiveness  and this organ is the scourge with which the deity compels man  will i nill i  into eating.
The Imp of the Perverse,secondly  having settled it to be god    s will that man should continue his species  we discovered an organ of amativeness  forthwith.
The Imp of the Perverse,and so with combativeness  with ideality  with causality  with constructiveness  so  in short  with every organ  whether representing a propensity  a moral sentiment  or a faculty of the pure intellect.
The Imp of the Perverse,and in these arrangements of the principia of human action  the spurzheimites  whether right or wrong  in part  or upon the whole  have but followed  in principle  the footsteps of their predecessors  deducing and establishing every thing from the preconceived destiny of man  and upon the ground of the objects of his creator.
The Imp of the Perverse,it would have been wiser  it would have been safer  to classify  if classify we must  upon the basis of what man usually or occasionally did  and was always occasionally doing  rather than upon the basis of what we took it for granted the deity intended him to do.
The Imp of the Perverse,if we cannot comprehend god in his visible works  how then in his inconceivable thoughts  that call the works into being  if we cannot understand him in his objective creatures  how then in his substantive moods and phases of creation   induction  a posteriori  would have brought phrenology to admit  as an innate and primitive principle of human action  a paradoxical something  which we may call perverseness  for want of a more characteristic term.
The Imp of the Perverse,in the sense i intend  it is  in fact  a mobile without motive  a motive not motivirt.
The Imp of the Perverse,through its promptings we act without comprehensible object  or  if this shall be understood as a contradiction in terms  we may so far modify the proposition as to say  that through its promptings we act  for the reason that we should not.
The Imp of the Perverse,in theory  no reason can be more unreasonable  but  in fact  there is none more strong.
The Imp of the Perverse,with certain minds  under certain conditions  it becomes absolutely irresistible.
The Imp of the Perverse,i am not more certain that i breathe  than that the assurance of the wrong or error of any action is often the one unconquerable force which impels us  and alone impels us to its prosecution.
The Imp of the Perverse,nor will this overwhelming tendency to do wrong for the wrong    s sake  admit of analysis  or resolution into ulterior elements.
The Imp of the Perverse,it is a radical  a primitive impulse elementary.
The Imp of the Perverse,it will be said  i am aware  that when we persist in acts because we feel we should not persist in them  our conduct is but a modification of that which ordinarily springs from the combativeness of phrenology.
The Imp of the Perverse,but a glance will show the fallacy of this idea.
The Imp of the Perverse,the phrenological combativeness has for its essence  the necessity of self defence.
The Imp of the Perverse,it is our safeguard against injury.
The Imp of the Perverse,its principle regards our well being  and thus the desire to be well is excited simultaneously with its development.
The Imp of the Perverse,it follows  that the desire to be well must be excited simultaneously with any principle which shall be merely a modification of combativeness  but in the case of that something which i term perverseness  the desire to be well is not only not aroused  but a strongly antagonistical sentiment exists.
The Imp of the Perverse,an appeal to one    s own heart is  after all  the best reply to the sophistry just noticed.
The Imp of the Perverse,no one who trustingly consults and thoroughly questions his own soul  will be disposed to deny the entire radicalness of the propensity in question.
The Imp of the Perverse,it is not more incomprehensible than distinctive.
The Imp of the Perverse,there lives no man who at some period has not been tormented  for example  by an earnest desire to tantalize a listener by circumlocution.
The Imp of the Perverse,the speaker is aware that he displeases  he has every intention to please  he is usually curt  precise  and clear  the most laconic and luminous language is struggling for utterance upon his tongue  it is only with difficulty that he restrains himself from giving it flow  he dreads and deprecates the anger of him whom he addresses  yet  the thought strikes him  that by certain involutions and parentheses this anger may be engendered.
The Imp of the Perverse,that single thought is enough.
The Imp of the Perverse,the impulse increases to a wish  the wish to a desire  the desire to an uncontrollable longing  and the longing  to the deep regret and mortification of the speaker  and in defiance of all consequences  is indulged.
The Imp of the Perverse,we have a task before us which must be speedily performed.
The Imp of the Perverse,we know that it will be ruinous to make delay.
The Imp of the Perverse,the most important crisis of our life calls  trumpet tongued  for immediate energy and action.
The Imp of the Perverse,we glow  we are consumed with eagerness to commence the work  with the anticipation of whose glorious result our whole souls are on fire.
The Imp of the Perverse,it must  it shall be undertaken to day  and yet we put it off until to morrow  and why  there is no answer  except that we feel perverse  using the word with no comprehension of the principle.
The Imp of the Perverse,to morrow arrives  and with it a more impatient anxiety to do our duty  but with this very increase of anxiety arrives  also  a nameless  a positively fearful  because unfathomable  craving for delay.
The Imp of the Perverse,this craving gathers strength as the moments fly.
The Imp of the Perverse,the last hour for action is at hand.
The Imp of the Perverse,we tremble with the violence of the conflict within us  of the definite with the indefinite of the substance with the shadow.
The Imp of the Perverse,but  if the contest have proceeded thus far  it is the shadow which prevails  we struggle in vain.
The Imp of the Perverse,the clock strikes  and is the knell of our welfare.
The Imp of the Perverse,at the same time  it is the chanticleer note to the ghost that has so long overawed us.
The Imp of the Perverse,it flies it disappears we are free.
The Imp of the Perverse,the old energy returns.
The Imp of the Perverse,we will labor now.
The Imp of the Perverse,alas  it is too late   we stand upon the brink of a precipice.
The Imp of the Perverse,we peer into the abyss we grow sick and dizzy.
The Imp of the Perverse,our first impulse is to shrink from the danger.
The Imp of the Perverse,unaccountably we remain.
The Imp of the Perverse,by slow degrees our sickness and dizziness and horror become merged in a cloud of unnamable feeling.
The Imp of the Perverse,by gradations  still more imperceptible  this cloud assumes shape  as did the vapor from the bottle out of which arose the genius in the arabian nights.
The Imp of the Perverse,but out of this our cloud upon the precipice    s edge  there grows into palpability  a shape  far more terrible than any genius or any demon of a tale  and yet it is but a thought  although a fearful one  and one which chills the very marrow of our bones with the fierceness of the delight of its horror.
